(,',Aberdeen_AB,',",",',AB,',)
(,',Aberdeenshire_AB,',",",',AB,',)
(,',Kincardineshire_AB,',",",',AB,',)
(,',Banffshire_AB,',",",',AB,',)
(,',Aberdeenshire_AB,',",",',AB,',)
(,',Hertfordshire_AL,',",",',AL,',)
(,',West Midlands_B,',",",',B,',)
(,',Warwickshire_B,',",",',B,',)
(,',Worcestershire_B,',",",',B,',)
(,',Staffordshire_B,',",",',B,',)
(,',West Midlands_B,',",",',B,',)
(,',Somerset_BA,',",",',BA,',)
(,',Somerset_BA,',",",',BA,',)
(,',Wiltshire_BA,',",",',BA,',)
(,',Lancashire_BB,',",",',BB,',)
(,',Lancashire_BB,',",",',BB,',)
(,',West Yorkshire_BD,',",",',BD,',)
(,',North Yorkshire_BD,',",",',BD,',)
(,',Hampshire_BH,',",",',BH,',)
(,',Dorset_BH,',",",',BH,',)
(,',Lancashire_BL,',",",',BL,',)
(,',Sussex_BN,',",",',BN,',)
(,',Kent_BR,',",",',BR,',)
(,',Gloucestershire_BS,',",",',BS,',)
(,',Somerset_BS,',",",',BS,',)
(,',County Antrim_BT,',",",',BT,',)
(,',County Down_BT,',",",',BT,',)
(,',County Londonderry_BT,',",",',BT,',)
(,',County Armagh_BT,',",",',BT,',)
(,',County Tyrone_BT,',",",',BT,',)
(,',County Fermanagh_BT,',",",',BT,',)
(,',Cumberland_CA,',",",',CA,',)
(,',Westmorland_CA,',",",',CA,',)
(,',Cumbria_CA,',",",',CA,',)
(,',Cambridgeshire_CB,',",",',CB,',)
(,',Essex_CB,',",",',CB,',)
(,',Cambridgeshire_CB,',",",',CB,',)
(,',Suffolk_CB,',",",',CB,',)
(,',Glamorgan_CF,',",",',CF,',)
(,',Cheshire_CH,',",",',CH,',)
(,',Flintshire_CH,',",",',CH,',)
(,',Flintshire_CH,',",",',CH,',)
(,',Essex_CM,',",",',CM,',)
(,',Hertfordshire_CM,',",",',CM,',)
(,',Essex_CO,',",",',CO,',)
(,',Suffolk_CO,',",",',CO,',)
(,',Surrey_CR,',",",',CR,',)
(,',Kent_CT,',",",',CT,',)
(,',West Midlands_CV,',",",',CV,',)
(,',Warwickshire_CV,',",",',CV,',)
(,',Warwickshire_CV,',",",',CV,',)
(,',Cheshire_CW,',",",',CW,',)
(,',Kent_DA,',",",',DA,',)
(,',Angus_DD,',",",',DD,',)
(,',Fife_DD,',",",',DD,',)
(,',Angus_DD,',",",',DD,',)
(,',Derbyshire_DE,',",",',DE,',)
(,',Derbyshire_DE,',",",',DE,',)
(,',Staffordshire_DE,',",",',DE,',)
(,',Dumfries and Galloway_DG,',",",',DG,',)
(,',Dumfriesshire_DG,',",",',DG,',)
(,',Kirkcudbrightshire_DG,',",",',DG,',)
(,',Wigtownshire_DG,',",",',DG,',)
(,',County Durham_DH,',",",',DH,',)
(,',County Durham_DL,',",",',DL,',)
(,',North Yorkshire_DL,',",",',DL,',)
(,',South Yorkshire_DN,',",",',DN,',)
(,',East Yorkshire_DN,',",",',DN,',)
(,',Lincolnshire_DN,',",",',DN,',)
(,',Nottinghamshire_DN,',",",',DN,',)
(,',Dorset_DT,',",",',DT,',)
(,',Worcestershire_DY,',",",',DY,',)
(,',Staffordshire_DY,',",",',DY,',)
(,',London_E,',",",',E,',)
(,',London_EW,',",",',EW,',)
(,',City of London_EC,',",",',EC,',)
(,',City of London_ECA,',",",',ECA,',)
(,',City of London_ECM,',",",',ECM,',)
(,',City of London_ECN,',",",',ECN,',)
(,',City of London_ECR,',",",',ECR,',)
(,',City of London_ECV,',",",',ECV,',)
(,',City of London_ECY,',",",',ECY,',)
(,',City of London_ECP,',",",',ECP,',)
(,',Edinburgh_EH,',",",',EH,',)
(,',Midlothian_EH,',",",',EH,',)
(,',West Lothian_EH,',",",',EH,',)
(,',East Lothian_EH,',",",',EH,',)
(,',East Lothian_EH,',",",',EH,',)
(,',Peeblesshire_EH,',",",',EH,',)
(,',Tweeddale_EH,',",",',EH,',)
(,',West Lothian_EH,',",",',EH,',)
(,',Middlesex_EN,',",",',EN,',)
(,',Hertfordshire_EN,',",",',EN,',)
(,',Essex_EN,',",",',EN,',)
(,',Devon_EX,',",",',EX,',)
(,',Cornwall_EX,',",",',EX,',)
(,',Stirlingshire_FK,',",",',FK,',)
(,',Clackmannanshire_FK,',",",',FK,',)
(,',Perthshire_FK,',",",',FK,',)
(,',Stirling_FK,',",",',FK,',)
(,',Lancashire_FY,',",",',FY,',)
(,',Lanarkshire_G,',",",',G,',)
(,',Dunbartonshire_G,',",",',G,',)
(,',Dunbartonshire_G,',",",',G,',)
(,',Gloucestershire_GL,',",",',GL,',)
(,',Gloucestershire_GL,',",",',GL,',)
(,',Surrey_GU,',",",',GU,',)
(,',Hampshire_GU,',",",',GU,',)
(,',Hampshire_GU,',",",',GU,',)
(,',Sussex_GU,',",",',GU,',)
(,',Berkshire_GU,',",",',GU,',)
(,',Middlesex_HA,',",",',HA,',)
(,',West Yorkshire_HD,',",",',HD,',)
(,',North Yorkshire_HG,',",",',HG,',)
(,',Hertfordshire_HP,',",",',HP,',)
(,',Buckinghamshire_HP,',",",',HP,',)
(,',Herefordshire_HR,',",",',HR,',)
(,',County of Herefordshire_HR,',",",',HR,',)
(,',Outer Hebrides_HS,',",",',HS,',)
(,',Ross-shire_HS,',",",',HS,',)
(,',Inverness-shire_HS,',",",',HS,',)
(,',East Yorkshire_HU,',",",',HU,',)
(,',West Yorkshire_HX,',",",',HX,',)
(,',Essex_IG,',",",',IG,',)
(,',Suffolk_IP,',",",',IP,',)
(,',Norfolk_IP,',",",',IP,',)
(,',Inverness-shire_IV,',",",',IV,',)
(,',Ross-shire_IV,',",",',IV,',)
(,',Highland_IV,',",",',IV,',)
(,',Sutherland_IV,',",",',IV,',)
(,',Morayshire_IV,',",",',IV,',)
(,',Ayrshire_KA,',",",',KA,',)
(,',Buteshire_KA,',",",',KA,',)
(,',South Ayrshire_KA,',",",',KA,',)
(,',Surrey_KT,',",",',KT,',)
(,',Caithness_KW,',",",',KW,',)
(,',Sutherland_KW,',",",',KW,',)
(,',Orkney_KW,',",",',KW,',)
(,',Fife_KY,',",",',KY,',)
(,',Kinross-Shire_KY,',",",',KY,',)
(,',Lancashire_L,',",",',L,',)
(,',Lancashire_LA,',",",',LA,',)
(,',Cumbria_LA,',",",',LA,',)
(,',Cumberland_LA,',",",',LA,',)
(,',Westmorland_LA,',",",',LA,',)
(,',Radnorshire_LD,',",",',LD,',)
(,',Brecknockshire_LD,',",",',LD,',)
(,',Leicestershire_LE,',",",',LE,',)
(,',Leicestershire_LE,',",",',LE,',)
(,',Rutland_LE,',",",',LE,',)
(,',Denbighshire_LL,',",",',LL,',)
(,',Denbighshire_LL,',",",',LL,',)
(,',Clwyd_LL,',",",',LL,',)
(,',Flintshire_LL,',",",',LL,',)
(,',Merioneth_LL,',",",',LL,',)
(,',Caernarfonshire_LL,',",",',LL,',)
(,',Gwynedd_LL,',",",',LL,',)
(,',Anglesey_LL,',",",',LL,',)
(,',Lincolnshire_LN,',",",',LN,',)
(,',Lincolnshire_LN,',",",',LN,',)
(,',West Yorkshire_LS,',",",',LS,',)
(,',North Yorkshire_LS,',",",',LS,',)
(,',Bedfordshire_LU,',",",',LU,',)
(,',Lancashire_M,',",",',M,',)
(,',Cheshire_M,',",",',M,',)
(,',Kent_ME,',",",',ME,',)
(,',Buckinghamshire_MK,',",",',MK,',)
(,',Buckinghamshire_MK,',",",',MK,',)
(,',Bedfordshire_MK,',",",',MK,',)
(,',Lanarkshire_ML,',",",',ML,',)
(,',South Lanarkshire_ML,',",",',ML,',)
(,',London_N,',",",',N,',)
(,',Northumberland_NE,',",",',NE,',)
(,',County Durham_NE,',",",',NE,',)
(,',Nottinghamshire_NG,',",",',NG,',)
(,',Nottinghamshire_NG,',",",',NG,',)
(,',Lincolnshire_NG,',",",',NG,',)
(,',Northamptonshire_NN,',",",',NN,',)
(,',Northamptonshire_NN,',",",',NN,',)
(,',Monmouthshire_NP,',",",',NP,',)
(,',Monmouthshire_NP,',",",',NP,',)
(,',Brecknockshire_NP,',",",',NP,',)
(,',Norfolk_NR,',",",',NR,',)
(,',Suffolk_NR,',",",',NR,',)
(,',London_NW,',",",',NW,',)
(,',Lancashire_OL,',",",',OL,',)
(,',Oxfordshire_OX,',",",',OX,',)
(,',Berkshire_OX,',",",',OX,',)
(,',Oxfordshire_OX,',",",',OX,',)
(,',Renfrewshire_PA,',",",',PA,',)
(,',Ayrshire_PA,',",",',PA,',)
(,',Buteshire_PA,',",",',PA,',)
(,',Argyllshire_PA,',",",',PA,',)
(,',Renfrewshire_PA,',",",',PA,',)
(,',Northamptonshire_PE,',",",',PE,',)
(,',Lincolnshire_PE,',",",',PE,',)
(,',Cambridgeshire_PE,',",",',PE,',)
(,',Cambridgeshire_PE,',",",',PE,',)
(,',Norfolk_PE,',",",',PE,',)
(,',Perth and Kinross_PH,',",",',PH,',)
(,',Perthshire_PH,',",",',PH,',)
(,',Inverness-shire_PH,',",",',PH,',)
(,',Highland_PH,',",",',PH,',)
(,',Argyllshire_PH,',",",',PH,',)
(,',Devon_PL,',",",',PL,',)
(,',Cornwall_PL,',",",',PL,',)
(,',Hampshire_PO,',",",',PO,',)
(,',Sussex_PO,',",",',PO,',)
(,',Monmouthshire_PO,',",",',PO,',)
(,',Isle of Wight_PO,',",",',PO,',)
(,',Lancashire_PR,',",",',PR,',)
(,',Berkshire_RG,',",",',RG,',)
(,',Hampshire_RG,',",",',RG,',)
(,',Oxfordshire_RG,',",",',RG,',)
(,',Surrey_RH,',",",',RH,',)
(,',Sussex_RH,',",",',RH,',)
(,',Essex_RM,',",",',RM,',)
(,',South Yorkshire_S,',",",',S,',)
(,',Derbyshire_S,',",",',S,',)
(,',Nottinghamshire_S,',",",',S,',)
(,',Swansea_SA,',",",',SA,',)
(,',Glamorgan_SA,',",",',SA,',)
(,',Carmarthenshire_SA,',",",',SA,',)
(,',Carmarthenshire_SA,',",",',SA,',)
(,',Pembrokeshire_SA,',",",',SA,',)
(,',Ceredigion_SA,',",",',SA,',)
(,',Ceredigion_SA,',",",',SA,',)
(,',Pembrokeshire_SA,',",",',SA,',)
(,',London_SE,',",",',SE,',)
(,',Hertfordshire_SG,',",",',SG,',)
(,',Hertfordshire_SG,',",",',SG,',)
(,',Bedfordshire_SG,',",",',SG,',)
(,',Cheshire_SK,',",",',SK,',)
(,',Derbyshire_SK,',",",',SK,',)
(,',Buckinghamshire_SL,',",",',SL,',)
(,',Berkshire_SL,',",",',SL,',)
(,',Surrey_SM,',",",',SM,',)
(,',Wiltshire_SN,',",",',SN,',)
(,',Berkshire_SN,',",",',SN,',)
(,',Hampshire_SO,',",",',SO,',)
(,',Wiltshire_SP,',",",',SP,',)
(,',Hampshire_SP,',",",',SP,',)
(,',Dorset_SP,',",",',SP,',)
(,',County Durham_SR,',",",',SR,',)
(,',Essex_SS,',",",',SS,',)
(,',Staffordshire_ST,',",",',ST,',)
(,',Staffordshire_ST,',",",',ST,',)
(,',London_SW,',",",',SW,',)
(,',London_SWA,',",",',SWA,',)
(,',London_SWE,',",",',SWE,',)
(,',London_SWH,',",",',SWH,',)
(,',London_SWP,',",",',SWP,',)
(,',London_SWV,',",",',SWV,',)
(,',London_SWW,',",",',SWW,',)
(,',London_SWX,',",",',SWX,',)
(,',London_SWY,',",",',SWY,',)
(,',Shropshire_SY,',",",',SY,',)
(,',Cheshire_SY,',",",',SY,',)
(,',Powys_SY,',",",',SY,',)
(,',Montgomeryshire_SY,',",",',SY,',)
(,',Ceredigion_SY,',",",',SY,',)
(,',Somerset_TA,',",",',TA,',)
(,',Selkirkshire_TD,',",",',TD,',)
(,',Berwickshire_TD,',",",',TD,',)
(,',Northumberland_TD,',",",',TD,',)
(,',Roxburghshire_TD,',",",',TD,',)
(,',Scottish Borders_TD,',",",',TD,',)
(,',Shropshire_TF,',",",',TF,',)
(,',Kent_TN,',",",',TN,',)
(,',Sussex_TN,',",",',TN,',)
(,',East Sussex_TN,',",",',TN,',)
(,',Devon_TQ,',",",',TQ,',)
(,',Cornwall_TR,',",",',TR,',)
(,',Isles of Scilly_TR,',",",',TR,',)
(,',North Yorkshire_TS,',",",',TS,',)
(,',County Durham_TS,',",",',TS,',)
(,',Middlesex_TW,',",",',TW,',)
(,',Surrey_TW,',",",',TW,',)
(,',Middlesex_UB,',",",',UB,',)
(,',London_W,',",",',W,',)
(,',London_WB,',",",',WB,',)
(,',London_WC,',",",',WC,',)
(,',London_WD,',",",',WD,',)
(,',London_WF,',",",',WF,',)
(,',London_WG,',",",',WG,',)
(,',London_WH,',",",',WH,',)
(,',London_WJ,',",",',WJ,',)
(,',London_WK,',",",',WK,',)
(,',London_WM,',",",',WM,',)
(,',London_WS,',",",',WS,',)
(,',London_WT,',",",',WT,',)
(,',London_WU,',",",',WU,',)
(,',London_WW,',",",',WW,',)
(,',Lancashire_WA,',",",',WA,',)
(,',Merseyside_WA,',",",',WA,',)
(,',Cheshire_WA,',",",',WA,',)
(,',London_WCA,',",",',WCA,',)
(,',London_WCB,',",",',WCB,',)
(,',London_WCE,',",",',WCE,',)
(,',London_WCH,',",",',WCH,',)
(,',London_WCN,',",",',WCN,',)
(,',London_WCR,',",",',WCR,',)
(,',London_WCV,',",",',WCV,',)
(,',London_WCX,',",",',WCX,',)
(,',Hertfordshire_WD,',",",',WD,',)
(,',West Yorkshire_WF,',",",',WF,',)
(,',Lancashire_WN,',",",',WN,',)
(,',Worcestershire_WR,',",",',WR,',)
(,',Worcestershire_WR,',",",',WR,',)
(,',Staffordshire_WS,',",",',WS,',)
(,',Staffordshire_WV,',",",',WV,',)
(,',Shropshire_WV,',",",',WV,',)
(,',North Yorkshire_YO,',",",',YO,',)
(,',East Yorkshire_YO,',",",',YO,',)
(,',Shetland_ZE,',",",',ZE,',)
